바타아, 169, 57
타아사, 154, 59
마다아, 144, 85
하자자, 184, 101
가바나, 174, 48
타하타, 198, 42
하카하, 158, 40
카하자, 185, 64
하타아, 179, 106
사하아, 179, 111
파다바, 158, 84
타하다, 164, 44
카자파, 198, 103
파라가, 185, 117
라차아, 181, 100
자파가, 182, 99
사가차, 151, 115
사마사, 162, 51
자카자, 145, 41
라자바, 191, 61
라카차, 153, 91
바바나, 162, 119
라사하, 189, 63
나차아, 199, 71
사카카, 165, 56
바나타, 176, 102
라카차, 149, 52
나차차, 168, 116
나자사, 142, 67
타카아, 141, 103
차나차, 198, 78
다하자, 178, 115
자가하, 194, 99
사다라, 141, 74
차다차, 189, 114
다나파, 163, 62
가바사, 160, 84
카파자, 168, 60
하라가, 161, 110
마마파, 155, 90
카타사, 140, 97
사파가, 161, 116
하나마, 163, 79
타나카, 153, 49
하나자, 163, 58
타타하, 154, 40
아다나, 195, 79
차파가, 197, 79
타자다, 190, 69
가하파, 173, 42
하아타, 166, 52
차가다, 164, 104
아다다, 185, 44
하타카, 172, 66
나가라, 160, 58
마마바, 167, 59
타바파, 176, 100
다하사, 175, 74
다파아, 179, 41
마마자, 154, 42
나나파, 181, 48
가가나, 188, 57
라차하, 165, 40
사타나, 152, 89
라가가, 165, 43
카라마, 155, 71
다가마, 145, 68
자차자, 143, 85
타라아, 185, 51
타아파, 186, 88
파나차, 141, 85
차나가, 148, 57
차아바, 195, 107
다사다, 159, 87
카자차, 155, 119
타바나, 150, 119
바사카, 158, 60
가하차, 188, 118
아나가, 195, 92
아카바, 185, 53
다하라, 180, 97
사하사, 176, 90
마사바, 154, 55
사자카, 160, 72
마차라, 172, 84
파가아, 160, 77
바가바, 155, 69
바마다, 161, 78
라자아, 189, 95
마아바, 144, 118
차카타, 191, 102
타가카, 147, 65
바다사, 181, 90
파타라, 165, 42
하차차, 190, 75
파카마, 146, 102
차차타, 198, 65
나사하, 188, 104
마카아, 189, 118
바하파, 198, 91
파아나, 158, 102
나자아, 152, 83
하바파, 198, 47
하아하, 193, 107
라카자, 188, 99
타나사, 182, 82
자타차, 179, 45
자자바, 148, 47
파하파, 171, 91
자아카, 170, 62
차다나, 167, 57
하파라, 180, 56
나가바, 176, 104
사아라, 167, 82
마자다, 176, 99
라다파, 171, 69
파차바, 154, 80
가하카, 164, 85
나타라, 175, 60
차파파, 196, 66
파파아, 143, 73
자사차, 161, 70
다다나, 159, 51
하가자, 194, 46
나타사, 183, 81
바바라, 147, 103
마마하, 163, 43
차바카, 180, 112
나마마, 195, 90
카나나, 191, 58
마하하, 199, 44
아차타, 152, 64
차차다, 141, 95
하아사, 188, 94
다마라, 168, 77
차파가, 189, 111
나가라, 161, 81
바다차, 189, 63
하라라, 191, 106
라하라, 171, 93
파가다, 145, 54
카아마, 157, 118
타다가, 163, 72
파아타, 148, 67
나하다, 150, 107
가아카, 141, 92
나라가, 192, 106
다사마, 186, 66
나라가, 182, 79
바아라, 169, 64
라마아, 188, 101
차사차, 193, 114
라차아, 153, 104
카다아, 169, 45
다파마, 185, 47
나가파, 183, 49
마차카, 143, 48
자마가, 167, 47
바사카, 186, 59
자바차, 190, 47
아다바, 192, 101
바자라, 168, 101
차바바, 163, 57
카바가, 182, 100
다자마, 179, 119
카나다, 164, 117
바다다, 171, 57
바카차, 181, 113
타차아, 148, 112
가아나, 172, 100
하타가, 150, 96
차라파, 159, 73
자마가, 153, 47
타아다, 163, 92
다나차, 142, 91
나아라, 162, 52
마가나, 188, 61
라가하, 182, 49
마파타, 197, 40
카사가, 183, 79
자다사, 188, 41
라사마, 155, 45
카아사, 157, 98
사아타, 179, 110
마마타, 190, 84
사라나, 178, 44
카자가, 149, 88
라마타, 167, 98
마바파, 152, 100
나바바, 157, 71
차사타, 157, 114
카하바, 190, 55
아마다, 178, 99
가마다, 166, 40
타카타, 166, 65
다카나, 165, 99
차바아, 174, 57
바타하, 168, 45
하자파, 167, 102
하하바, 171, 106
사하다, 173, 110
사아파, 175, 55
사아자, 148, 119
바하타, 149, 70
파차타, 159, 78
가하파, 150, 44
나하차, 151, 115
가마바, 161, 54
파파라, 149, 112
마나아, 148, 111
사가다, 144, 71
마차바, 189, 105
마다바, 181, 95
자하라, 189, 46
하라사, 194, 60
마가차, 182, 104
다파파, 186, 102
카다하, 190, 91
차다사, 157, 91
가사파, 158, 60
파파사, 191, 51
사가파, 182, 65
라카아, 182, 91
타사가, 169, 73
타아하, 167, 79
가자차, 186, 104
사다차, 193, 46
나차다, 147, 69
자라바, 168, 84
마타가, 189, 96
바타파, 177, 87
아아타, 161, 41
파카가, 148, 41
파마자, 142, 104
파타카, 194, 46
가사바, 187, 83
다카다, 198, 82
라사마, 153, 60
타라다, 157, 93
